ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
whale,goldfish,monkey,goat,bear,crocodile,eagle,ladybug,sheep
ladybug,mouse,hog,fox,duck,dolphin,shark,cat,eagle
snake,ant,mouse,goldfish,bluebird,pigeon,spider,goat,rat
butterfly,ladybug,duck,dolphin,elephant,bluebird,giraffe,hog,goat
snail,whale,snake,hog,bat,bear,butterfly,elephant,eagle
snail,lizard,sparrow,goat,turkey,dog,owl,frog,goldfish
shark,bat,butterfly,monkey,giraffe,mouse,crocodile,fox,sparrow
elephant,lizard,ladybug,cat,turkey,whale,ant,goat,hog
bear,turtle,mouse,sheep,bluebird,turkey,duck,dolphin,hog
frog,tiger,cow,snake,hog,snail,dog,cat,owl
goat,bear,hog,cow,eagle,ant,whale,ladybug,turtle
rat,lizard,ant,pigeon,mouse,frog,tiger,hog,cow
hog,eagle,snake,monkey,bat,shark,turtle,giraffe,crocodile
rat,tiger,dog,fox,bluebird,crocodile,lizard,sparrow,duck
eagle,dog,turtle,monkey,shark,ladybug,lizard,frog,goldfish
turtle,owl,monkey,eagle,dog,sheep,bear,lizard,ladybug
whale,giraffe,bat,pigeon,spider,bluebird,hog,snail,tiger
horse,giraffe,sheep,owl,turtle,crocodile,turkey,bluebird,goat
goldfish,monkey,cow,hog,whale,elephant,cat,lizard,spider
giraffe,cow,bear,sheep,elephant,spider,snail,hog,dog
cow,dog,dolphin,fox,tiger,bear,monkey,eagle,ant
bat,crocodile,snail,rat,turtle,lizard,snake,sheep,fox
monkey,rat,shark,cow,ant,tiger,fox,duck,giraffe
snake,fox,turkey,monkey,sheep,whale,crocodile,turtle,horse
crocodile,bluebird,snake,horse,giraffe,ant,rat,owl,snail
giraffe,rat,hog,frog,lizard,whale,mouse,sheep,cat
whale,dolphin,cow,butterfly,lizard,shark,duck,owl,ant
snail,turkey,duck,ladybug,cat,pigeon,monkey,sparrow,fox
horse,bear,elephant,pigeon,snake,dolphin,sparrow,cow,monkey
turtle,monkey,tiger,fox,bat,mouse,dolphin,frog,ladybug
spider,duck,rat,shark,frog,ladybug,giraffe,butterfly,monkey
monkey,frog,sheep,horse,snake,cat,dog,pigeon,owl
sheep,pigeon,whale,giraffe,ladybug,lizard,fox,horse,eagle
pigeon,crocodile,ladybug,frog,bear,fox,sheep,whale,giraffe
shark,eagle,snail,spider,frog,elephant,horse,hog,snake
turtle,duck,sheep,goldfish,lizard,rat,whale,cat,pigeon
lizard,snake,bluebird,butterfly,sheep,mouse,duck,monkey,frog
snake,frog,goldfish,duck,dog,bat,goat,owl,tiger
whale,bluebird,sparrow,snake,tiger,frog,goat,elephant,crocodile
sparrow,goldfish,dog,butterfly,goat,fox,ladybug,dolphin,owl
turkey,frog,whale,rat,spider,monkey,horse,bear,hog
owl,goldfish,mouse,snail,whale,ladybug,sheep,sparrow,goat
bluebird,frog,turtle,crocodile,bat,dolphin,goldfish,hog,fox
dog,butterfly,goat,hog,turkey,bat,elephant,crocodile,whale
snake,hog,elephant,turkey,eagle,lizard,bear,crocodile,cat
dolphin,cow,turtle,duck,bluebird,ant,tiger,spider,frog
goldfish,ladybug,elephant,turtle,whale,mouse,ant,butterfly,turkey
ant,duck,rat,horse,goldfish,giraffe,butterfly,fox,spider
dolphin,eagle,monkey,elephant,butterfly,whale,owl,lizard,pigeon
duck,mouse,spider,turtle,crocodile,cow,dog,shark,giraffe
shark,duck,dolphin,bluebird,ant,tiger,mouse,butterfly,lizard
butterfly,ant,crocodile,turkey,sheep,snail,bear,tiger,owl
cat,spider,elephant,crocodile,frog,bear,turtle,shark,eagle
eagle,hog,sparrow,snail,cat,cow,turkey,frog,turtle
