ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,0.315438157
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,0.287340314
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,0.794672208
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,0.34982841
ladybug,turtle,snake,frog,monkey,giraffe,dog,elephant,whale,0.729338155
crocodile,turkey,cow,duck,bear,tiger,butterfly,frog,sparrow,0.174672298
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,0.358183111
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,0.156740887
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,0.134516972
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,0.871330896
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,0.678433596
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,0.923063454
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,0.885495385
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,0.605173476
sheep,snake,cat,mouse,shark,owl,tiger,elephant,bluebird,0.483840842
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,0.357498422
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,0.138186698
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,0.500972076
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,0.159604685
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,0.866030889
hog,goat,frog,pigeon,whale,dolphin,duck,lizard,horse,0.467832557
ant,pigeon,ladybug,sparrow,spider,goldfish,monkey,eagle,snake,0.470191114
fox,monkey,eagle,crocodile,dog,rat,whale,duck,cow,0.277936322
owl,sheep,ladybug,mouse,whale,goldfish,goat,snail,sparrow,0.958488612
frog,snail,dog,spider,sheep,butterfly,goldfish,fox,lizard,0.957139468
owl,hog,whale,bat,horse,fox,duck,snake,goat,0.115251771
whale,eagle,crocodile,monkey,bear,goldfish,sheep,goat,ladybug,0.683046013
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,0.611929758
bear,goat,fox,whale,bat,cow,spider,snake,shark,0.611874582
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,0.950959288
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,0.440507326
bat,mouse,dog,owl,ladybug,cow,giraffe,bluebird,butterfly,0.907560361
shark,tiger,ladybug,hog,cow,goldfish,turtle,dolphin,horse,0.537969386
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,0.185195838
cat,sheep,horse,monkey,fox,goat,elephant,dog,turtle,0.702038072
crocodile,ladybug,sheep,dolphin,turkey,pigeon,goat,cow,goldfish,0.338545619
tiger,monkey,elephant,sheep,giraffe,sparrow,dolphin,ladybug,cow,0.821533548
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,0.034479356
