ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
horse,goat,owl,turtle,giraffe,crocodile,turkey,sheep,bluebird
eagle,bluebird,bat,spider,tiger,owl,dolphin,rat,fox
turkey,horse,ant,tiger,eagle,duck,monkey,bat,ladybug
bat,fox,rat,turtle,crocodile,lizard,snake,snail,sheep
snail,eagle,hog,bat,whale,bear,butterfly,snake,elephant
giraffe,goat,turkey,pigeon,monkey,duck,bat,crocodile,ladybug
dolphin,fox,tiger,goat,bat,ladybug,bear,turtle,sheep
dolphin,frog,duck,bluebird,cow,ant,tiger,turtle,spider
butterfly,monkey,sparrow,snake,dolphin,whale,cat,horse,giraffe
bluebird,fox,crocodile,bat,frog,dolphin,goldfish,turtle,hog
fox,sheep,spider,mouse,hog,ant,cat,elephant,snail
duck,goat,owl,whale,bluebird,sheep,horse,bat,snail
horse,monkey,pigeon,snake,bear,dolphin,sparrow,elephant,cow
spider,monkey,shark,frog,duck,ladybug,giraffe,rat,butterfly
goat,frog,monkey,bat,sparrow,turkey,tiger,owl,goldfish
owl,eagle,monkey,dog,bear,frog,dolphin,butterfly,rat
hog,goat,fox,horse,sparrow,ladybug,bear,goldfish,turkey
ladybug,butterfly,cow,goldfish,turkey,bluebird,crocodile,horse,sparrow
goldfish,frog,snail,eagle,shark,dolphin,snake,ladybug,turkey
snail,fox,ladybug,cat,turkey,pigeon,monkey,duck,sparrow
dolphin,horse,whale,sparrow,monkey,shark,cow,frog,snake
dog,whale,hog,turkey,butterfly,bat,elephant,goat,crocodile
shark,sparrow,monkey,giraffe,bat,mouse,crocodile,butterfly,fox
cow,duck,goat,sheep,snail,spider,crocodile,shark,whale
mouse,cow,whale,goldfish,dolphin,snake,frog,rat,giraffe
whale,ant,butterfly,lizard,dolphin,shark,duck,cow,owl
bluebird,giraffe,goat,ant,duck,mouse,snail,ladybug,eagle
crocodile,dog,bat,dolphin,pigeon,fox,eagle,monkey,mouse
pigeon,ladybug,turtle,horse,tiger,whale,spider,eagle,snail
ladybug,lizard,ant,bluebird,shark,owl,cat,bat,goldfish
sheep,tiger,elephant,shark,owl,cat,snake,mouse,bluebird
owl,duck,snake,horse,fox,whale,hog,bat,goat
mouse,frog,dog,ant,elephant,giraffe,turkey,bat,spider
rat,cat,shark,butterfly,goat,spider,snake,sheep,turkey
snail,goldfish,goat,turkey,lizard,dog,owl,sparrow,frog
turtle,pigeon,goldfish,lizard,duck,rat,whale,sheep,cat
pigeon,lizard,bat,bluebird,snake,monkey,elephant,goat,hog
elephant,crocodile,sheep,pigeon,horse,dolphin,frog,bear,turtle
lizard,frog,butterfly,sheep,snake,mouse,duck,bluebird,monkey
sparrow,lizard,ant,bluebird,snail,eagle,monkey,rat,horse
crocodile,rat,sparrow,giraffe,cat,whale,lizard,elephant,duck
dolphin,bat,hog,snail,mouse,rat,crocodile,ladybug,giraffe
pigeon,monkey,bat,butterfly,dog,dolphin,duck,sparrow,ant
snail,tiger,sheep,whale,horse,dolphin,mouse,snake,turtle
cow,duck,frog,shark,ladybug,bat,goldfish,snake,pigeon
eagle,duck,goat,mouse,pigeon,butterfly,cat,whale,hog
hog,pigeon,shark,sheep,rat,monkey,butterfly,duck,tiger
elephant,snake,mouse,spider,dog,monkey,bat,bluebird,giraffe
snake,horse,monkey,sheep,fox,whale,crocodile,turkey,turtle
monkey,lizard,snail,sparrow,whale,bear,goat,ladybug,hog
horse,dog,mouse,tiger,duck,butterfly,shark,lizard,frog
ant,dolphin,frog,turtle,lizard,bluebird,turkey,bear,crocodile
elephant,cat,tiger,snail,turkey,monkey,shark,bat,butterfly
goat,duck,whale,spider,cow,horse,sheep,rat,mouse
rat,cow,pigeon,mouse,lizard,frog,tiger,ant,hog
fox,frog,sparrow,pigeon,dog,snake,eagle,bluebird,horse
monkey,dolphin,crocodile,turtle,ant,horse,dog,bat,duck
mouse,bluebird,sheep,snake,owl,monkey,dolphin,fox,turtle
duck,cat,elephant,fox,dolphin,snail,monkey,goat,rat
pigeon,mouse,owl,turkey,elephant,bear,crocodile,bluebird,shark
bear,hog,sheep,bluebird,turtle,turkey,duck,mouse,dolphin
spider,dolphin,owl,pigeon,snake,horse,turkey,sheep,goldfish
whale,hog,shark,dog,owl,mouse,spider,turkey,turtle
turtle,goat,cow,elephant,turkey,crocodile,bluebird,giraffe,shark
snake,rat,goldfish,bluebird,ant,pigeon,spider,mouse,goat
owl,cow,eagle,sparrow,turkey,mouse,frog,elephant,ant
hog,sparrow,owl,mouse,elephant,cat,snail,bear,bluebird
turtle,giraffe,spider,frog,butterfly,fox,hog,horse,crocodile
shark,turtle,dolphin,cow,goldfish,ladybug,tiger,hog,horse
spider,goat,dog,bat,sparrow,bluebird,fox,mouse,elephant
duck,giraffe,turtle,crocodile,mouse,cow,dog,spider,shark
crocodile,snail,horse,giraffe,bluebird,ant,rat,snake,owl
ladybug,dog,elephant,monkey,giraffe,snake,turtle,frog,whale
whale,tiger,pigeon,spider,giraffe,bluebird,hog,bat,snail
bat,spider,goat,dolphin,sparrow,goldfish,bear,rat,lizard
hog,crocodile,monkey,bat,eagle,shark,turtle,snake,giraffe
bear,pigeon,sparrow,owl,horse,ant,cat,lizard,giraffe
dolphin,pigeon,elephant,butterfly,eagle,whale,owl,monkey,lizard
frog,horse,dolphin,giraffe,whale,pigeon,turtle,ant,duck
cat,butterfly,snail,snake,dog,sheep,cow,dolphin,hog
elephant,hog,cat,turkey,lizard,whale,ant,ladybug,goat
frog,ant,hog,bat,duck,sparrow,turkey,bear,cat
turtle,ladybug,fox,bat,monkey,mouse,dolphin,tiger,frog
turkey,fox,hog,bear,crocodile,lizard,elephant,goldfish,cow
goldfish,fox,owl,rat,bear,horse,tiger,bat,giraffe
butterfly,goat,dolphin,elephant,ladybug,bluebird,giraffe,duck,hog
tiger,owl,turkey,duck,butterfly,bluebird,frog,bear,spider
butterfly,pigeon,goldfish,spider,ant,bear,rat,dog,mouse
monkey,giraffe,cow,ant,rat,tiger,fox,shark,duck
spider,goat,lizard,cow,turkey,dolphin,cat,hog,bluebird
eagle,turtle,snail,cat,hog,cow,turkey,sparrow,frog
cow,ant,fox,tiger,dog,bear,monkey,dolphin,eagle
goat,butterfly,turtle,snake,bear,bluebird,crocodile,cat,shark
sheep,eagle,giraffe,ladybug,pigeon,lizard,fox,whale,horse
sheep,monkey,spider,frog,dolphin,hog,snake,turtle,owl
ant,sheep,whale,dog,lizard,shark,bat,dolphin,mouse
cat,ant,tiger,giraffe,turkey,bluebird,bat,snail,hog
cat,elephant,dog,fox,goat,horse,sheep,monkey,turtle
hog,duck,lizard,whale,dolphin,frog,goat,pigeon,horse
whale,fox,cat,sheep,eagle,dolphin,horse,rat,ant
tiger,dolphin,ladybug,giraffe,sparrow,elephant,monkey,sheep,cow
frog,whale,shark,monkey,ladybug,dolphin,elephant,eagle,rat
giraffe,turtle,snake,sparrow,ant,turkey,dolphin,ladybug,owl
dog,tiger,pigeon,lizard,owl,ladybug,cow,giraffe,monkey
giraffe,frog,butterfly,horse,dolphin,fox,sparrow,bluebird,rat
lizard,tiger,duck,dolphin,mouse,cat,pigeon,owl,ladybug
turkey,owl,sparrow,dog,dolphin,goat,butterfly,lizard,cow
shark,snake,spider,frog,eagle,elephant,horse,snail,hog
monkey,lizard,goat,giraffe,mouse,fox,elephant,goldfish,turkey
sparrow,owl,butterfly,goat,goldfish,fox,ladybug,dog,dolphin
duck,bear,tiger,lizard,turkey,turtle,cow,frog,pigeon
