ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
elephant,shark,monkey,bat,snail,turkey,cat,tiger,butterfly,0.28973835
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,0.89372388
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,0.10739187
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,0.00252519
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,0.15462803
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,0.62790317
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,0.25942353
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,0.97075639
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,0.99422659
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,0.07131997
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,0.64186575
fox,ladybug,dolphin,bat,ant,goat,turtle,cat,lizard,0.20660035
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,0.47667874
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,0.72370299
eagle,elephant,owl,ant,horse,fox,snake,dog,ladybug,0.31997522
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,0.56235317
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,0.96374808
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,0.47629756
tiger,frog,bluebird,bear,duck,butterfly,owl,turkey,spider,0.51873039
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,0.86942175
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,0.39782304
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,0.50610533
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,0.66450625
whale,hog,bluebird,bat,spider,giraffe,tiger,pigeon,snail,0.01862521
eagle,cat,butterfly,whale,mouse,pigeon,duck,goat,hog,0.12861084
dog,spider,snake,duck,sheep,crocodile,snail,horse,turkey,0.39020132
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,0.09143654
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,0.25729256
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,0.5356402
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,0.10580564
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,0.49008123
sheep,snake,cat,mouse,shark,owl,tiger,elephant,bluebird,0.43509455
butterfly,eagle,mouse,duck,fox,goldfish,frog,ladybug,cow,0.65349284
owl,hog,whale,bat,horse,fox,duck,snake,goat,0.81861765
crocodile,ladybug,sheep,dolphin,turkey,pigeon,goat,cow,goldfish,0.79917834
bear,frog,cat,bat,pigeon,butterfly,snail,goat,goldfish,0.94173184
goat,monkey,snake,shark,fox,tiger,lizard,dog,pigeon,0.52368103
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,0.66076763
mouse,pigeon,shark,duck,snail,horse,dog,tiger,ant,0.27517636
hog,goat,frog,pigeon,whale,dolphin,duck,lizard,horse,0.70363422
frog,dog,snail,cow,hog,tiger,owl,snake,cat,0.00698084
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,0.02587772
tiger,fox,snake,ant,lizard,goat,eagle,turtle,pigeon,0.57778831
elephant,frog,dolphin,bear,pigeon,horse,crocodile,sheep,turtle,0.56821904
turkey,butterfly,goat,lizard,dog,dolphin,owl,sparrow,cow,0.02701128
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,0.31441916
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,0.1530187
owl,tiger,fox,shark,crocodile,horse,turtle,pigeon,bluebird,0.60559266
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,0.01103054
sparrow,giraffe,bear,snake,dolphin,bat,tiger,sheep,goldfish,0.35188062
goat,tiger,turkey,owl,bat,sparrow,frog,monkey,goldfish,0.97013004
rat,owl,goldfish,turtle,duck,crocodile,dolphin,monkey,ladybug,0.96268189
