ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,0.771283639
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,0.738099827
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,0.797217794
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,0.06000929
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,0.964402742
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,0.913020824
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,0.140037318
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,0.753722099
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,0.651887718
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,0.626685755
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,0.922813169
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,0.463898701
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,0.513900627
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,0.1928509
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,0.088103822
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,0.015770778
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,0.662826414
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,0.571015903
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,0.624886687
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,0.256944969
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,0.710175869
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,0.859490198
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,0.181546627
goat,crocodile,bluebird,cat,snake,bear,butterfly,turtle,shark,0.177632264
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,0.020372353
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,0.802522397
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,0.278028453
snail,owl,dog,sparrow,turkey,lizard,goldfish,goat,frog,0.364779451
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,0.97404659
turkey,butterfly,goat,lizard,dog,dolphin,owl,sparrow,cow,0.379647576
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,0.442599651
dolphin,crocodile,rat,ladybug,snail,mouse,bat,hog,giraffe,0.017750501
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,0.464194143
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,0.874810762
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,0.088932714
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,0.961189144
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,0.541650557
ladybug,whale,elephant,tiger,bear,duck,eagle,spider,goat,0.123620929
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,0.627530612
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,0.614733489
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,0.901494002
goldfish,goat,lizard,giraffe,cow,dog,duck,pigeon,tiger,0.830037649
horse,duck,spider,butterfly,ant,turkey,sheep,goldfish,hog,0.511860859
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,0.390873278
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,0.27557052
hog,butterfly,monkey,duck,sheep,rat,pigeon,shark,tiger,0.33279234
butterfly,bear,snail,crocodile,sheep,ant,owl,turkey,tiger,0.376572395
cat,whale,owl,ladybug,bluebird,lizard,pigeon,bat,rat,0.170805988
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,0.811390633
rat,tiger,frog,ant,mouse,lizard,cow,pigeon,hog,0.098739421
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,0.86469576
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,0.929852285
cow,goldfish,bat,snake,shark,ladybug,duck,frog,pigeon,0.778491782
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,0.577318601
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,0.178981461
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,0.118202844
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,0.843941633
owl,rat,lizard,spider,cat,turtle,dog,crocodile,giraffe,0.096869963
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,0.80915588
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,0.072600913
tiger,horse,giraffe,goldfish,hog,rat,turkey,bear,monkey,0.238461782
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,0.033564896
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,0.547848809
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,0.774073444
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,0.881419726
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,0.610263693
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,0.308293179
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,0.432441879
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,0.782049398
frog,dog,snail,cow,hog,tiger,owl,snake,cat,0.502193427
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,0.977225813
pigeon,duck,dolphin,sparrow,butterfly,dog,monkey,bat,ant,0.572576025
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,0.142934708
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,0.791468443
cat,frog,lizard,goldfish,duck,crocodile,mouse,ladybug,sparrow,0.92648954
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,0.97274947
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,0.762697266
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,0.356311296
hog,spider,dog,bluebird,elephant,cow,snake,crocodile,ant,0.083503734
whale,eagle,crocodile,monkey,bear,goldfish,sheep,goat,ladybug,0.56512301
horse,turkey,crocodile,sheep,turtle,giraffe,goat,owl,bluebird,0.849423855
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,0.293724559
lizard,duck,mouse,bluebird,sheep,snake,frog,butterfly,monkey,0.211766419
bear,goat,fox,whale,bat,cow,spider,snake,shark,0.078208973
