ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,0.304702825
goat,monkey,snake,shark,fox,tiger,lizard,dog,pigeon,0.237465821
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,0.839458939
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,0.776142686
sparrow,giraffe,bear,snake,dolphin,bat,tiger,sheep,goldfish,0.907608949
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,0.301623756
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,0.241716462
shark,tiger,ladybug,hog,cow,goldfish,turtle,dolphin,horse,0.405454857
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,0.451383084
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,0.161330304
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,0.439265968
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,0.815943674
mouse,pigeon,shark,duck,snail,horse,dog,tiger,ant,0.732107542
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,0.973049812
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,0.149562041
cow,monkey,bear,dolphin,tiger,dog,ant,fox,eagle,0.733538361
pigeon,dolphin,cat,cow,snail,ant,spider,rat,goldfish,0.915774667
rat,owl,goldfish,turtle,duck,crocodile,dolphin,monkey,ladybug,0.938484931
cat,sheep,horse,monkey,fox,goat,elephant,dog,turtle,0.110933676
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,0.31374789
whale,eagle,crocodile,monkey,bear,goldfish,sheep,goat,ladybug,0.579995966
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,0.888962312
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,0.780370979
rat,butterfly,ant,bear,snail,giraffe,elephant,pigeon,snake,0.040666887
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,0.194759076
eagle,cat,butterfly,whale,mouse,pigeon,duck,goat,hog,0.572287635
horse,turkey,crocodile,sheep,turtle,giraffe,goat,owl,bluebird,0.305930267
hog,goat,frog,pigeon,whale,dolphin,duck,lizard,horse,0.678271807
goat,crocodile,bluebird,cat,snake,bear,butterfly,turtle,shark,0.177067927
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,0.586932256
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,0.79204288
snail,frog,butterfly,bluebird,goat,hog,shark,crocodile,giraffe,0.340199103
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,0.545742664
