ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
bluebird,ladybug,snake,whale,pigeon,elephant,tiger,ant,shark,0.540630125
giraffe,dolphin,turkey,ladybug,sparrow,ant,turtle,snake,owl,0.064423915
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,0.165453911
lizard,dog,fox,bear,hog,cow,bat,shark,snail,0.335126638
bluebird,shark,cat,spider,dog,rat,monkey,snake,owl,0.274384362
cow,lizard,eagle,frog,turkey,tiger,goldfish,sparrow,rat,0.309113106
tiger,monkey,elephant,sheep,giraffe,sparrow,dolphin,ladybug,cow,0.052547456
mouse,frog,snake,rat,goldfish,dolphin,cow,whale,giraffe,0.25170125
bear,frog,cat,bat,pigeon,butterfly,snail,goat,goldfish,0.234080223
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,0.49146283
turtle,hog,fox,horse,frog,butterfly,giraffe,spider,crocodile,0.515489191
fox,ladybug,dolphin,bat,ant,goat,turtle,cat,lizard,0.833790216
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,0.265308891
fox,monkey,eagle,crocodile,dog,rat,whale,duck,cow,0.138039728
crocodile,turkey,cow,duck,bear,tiger,butterfly,frog,sparrow,0.687655637
owl,hog,whale,bat,horse,fox,duck,snake,goat,0.242362499
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,0.102636797
fox,bear,dolphin,tiger,giraffe,bluebird,goat,goldfish,pigeon,0.738599175
bat,snake,lizard,snail,turtle,crocodile,fox,rat,sheep,0.020666349
bluebird,goldfish,dolphin,turtle,bat,frog,fox,crocodile,hog,0.744147422
horse,shark,butterfly,lizard,tiger,duck,dog,mouse,frog,0.630454326
whale,hog,bluebird,bat,spider,giraffe,tiger,pigeon,snail,0.568646306
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,0.297538083
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,0.551608862
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,0.883709496
eagle,lizard,ladybug,turtle,shark,dog,goldfish,monkey,frog,0.233730587
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,0.473782982
giraffe,tiger,pigeon,bear,cow,goldfish,crocodile,shark,eagle,0.771242267
bluebird,frog,horse,lizard,cow,hog,monkey,bear,dog,0.111776568
owl,tiger,fox,shark,crocodile,horse,turtle,pigeon,bluebird,0.515047248
dog,dolphin,monkey,pigeon,turtle,cat,mouse,ant,shark,0.748601463
monkey,fox,tiger,shark,ant,rat,giraffe,cow,duck,0.451333243
lizard,sparrow,turtle,snake,shark,frog,bat,turkey,crocodile,0.926955971
eagle,cat,butterfly,whale,mouse,pigeon,duck,goat,hog,0.608195312
sparrow,giraffe,bear,snake,dolphin,bat,tiger,sheep,goldfish,0.190700826
eagle,elephant,owl,ant,horse,fox,snake,dog,ladybug,0.993757523
tiger,frog,bluebird,bear,duck,butterfly,owl,turkey,spider,0.701853961
butterfly,rat,bear,dog,spider,ant,pigeon,goldfish,mouse,0.206858266
goat,monkey,snake,shark,fox,tiger,lizard,dog,pigeon,0.848010718
lizard,rat,fox,ant,spider,goldfish,dog,elephant,giraffe,0.823077693
elephant,shark,monkey,bat,snail,turkey,cat,tiger,butterfly,0.976826555
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,0.039304247
goat,sheep,horse,rat,spider,cow,duck,whale,mouse,0.201753748
horse,fox,whale,tiger,mouse,eagle,monkey,bat,cow,0.805700241
cat,sheep,horse,monkey,fox,goat,elephant,dog,turtle,0.347263171
frog,snail,dog,spider,sheep,butterfly,goldfish,fox,lizard,0.71580071
dog,spider,snake,duck,sheep,crocodile,snail,horse,turkey,0.561308026
ladybug,crocodile,bluebird,horse,goldfish,turkey,butterfly,cow,sparrow,0.413465535
shark,crocodile,mouse,butterfly,giraffe,bat,sparrow,monkey,fox,0.432833455
duck,cow,turtle,frog,lizard,turkey,bear,tiger,pigeon,0.232804374
ant,pigeon,ladybug,sparrow,spider,goldfish,monkey,eagle,snake,0.242326095
sheep,dog,hog,rat,dolphin,turkey,horse,goat,fox,0.738544626
snail,monkey,pigeon,duck,cat,turkey,fox,ladybug,sparrow,0.08516588
monkey,elephant,fox,goldfish,giraffe,mouse,lizard,goat,turkey,0.806714696
dolphin,eagle,dog,pigeon,hog,snail,turkey,cat,goldfish,0.727355588
crocodile,eagle,fox,monkey,dolphin,pigeon,dog,bat,mouse,0.326835139
monkey,bluebird,pigeon,butterfly,eagle,sheep,whale,snail,spider,0.583936159
shark,tiger,ladybug,hog,cow,goldfish,turtle,dolphin,horse,0.395314452
duck,monkey,snail,goat,fox,dolphin,cat,elephant,rat,0.80953697
snake,goat,bat,goldfish,dog,frog,tiger,duck,owl,0.35009672
owl,sheep,ladybug,mouse,whale,goldfish,goat,snail,sparrow,0.236424983
rat,snake,spider,sheep,butterfly,goat,cat,shark,turkey,0.34721797
lizard,pigeon,cat,owl,dolphin,mouse,tiger,duck,ladybug,0.593841395
